form	lemma	POS	morph
qu’	que4	CONsub	MORPH=empty
ele	il	PROper	|PERS.=3||NOMB.=s||GENRE=f||CAS=n|
sen	son4	DETpos	|PERS.=3||NOMB.=s|
aquit	aquiter	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
.	.	PONfrt	MORPH=empty
Il	il	PROimp	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
i	i2	PROadv	MORPH=empty
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
tel	tel	PROind	|NOMB.=s||GENRE=m||CAS=r|
des	de+le	PRE.DETdef	|NOMB.=p||GENRE=f||CAS=r|
ames	ame	NOMcom	|NOMB.=p||GENRE=f||CAS=r|
ki	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
cent	cent	DETcar	|NOMB.=p||GENRE=m||CAS=r|
ans	an	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
art	ardre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
frit	fraindre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
.	.	PONfrt	MORPH=empty
vii	set	PROcar	|NOMB.=p||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
anz	an	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
seroit	estre1	VERcjg	|MODE=con||PERS.=3||NOMB.=s|
nuz	nul	PROind	|NOMB.=p||GENRE=m||CAS=n|
par	par	PRE	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
plus	plus	ADVgen	DEGRE=-
grant	grant	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
froidour	froidure	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
C’	que2	PROrel	|NOMB.=s||GENRE=f||CAS=r|
onques	onque	ADVgen	DEGRE=-
fut	estre1	VERcjg	|MODE=ind||TEMPS=psp||PERS.=3||NOMB.=s|
en	en1	PRE	MORPH=empty
iver	iver2	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
par	par	PRE	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
froidor	froidure	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
greignor	graignor	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
N’	ne1	ADVneg	MORPH=empty
auroit	avoir	VERcjg	|MODE=con||PERS.=3||NOMB.=s|
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
en	en1	PRE	MORPH=empty
.	.	PONfrt	MORPH=empty
vii	set	PROcar	|NOMB.=p||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
anz	an	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
moitié	moitié	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
de	de	PRE	MORPH=empty
doulor	dolor	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
Que	qui	PROrel	MORPH=empty
d’	de	PRE	MORPH=empty
estre	estre1	VERinf	MORPH=empty
en	en1	PRE	MORPH=empty
Purgatoire	purgatoire	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
moitié	moitié	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
d’	de	PRE	MORPH=empty
un	un	DETndf	|NOMB.=s||GENRE=m||CAS=r|
seul	sol1	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
jour	jor	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Vos	vos	PROper	|PERS.=2||NOMB.=p||GENRE=m||CAS=n|
gent	gent1	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
finez	finer	VERcjg	|MODE=ind||TEMPS=pst||PERS.=2||NOMB.=s|
d’	de	PRE	MORPH=empty
emprunter	emprunter	VERinf	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
d’	de	PRE	MORPH=empty
acroire	acroire	VERinf	MORPH=empty
Vos	vos	PROper	|PERS.=2||NOMB.=p||GENRE=m||CAS=n|
vos	vos	PROper	|PERS.=2||NOMB.=p||GENRE=m||CAS=r|
aquiteret	aquiter	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
se	se	CONsub	MORPH=empty
vos	vos	PROper	|PERS.=2||NOMB.=p||GENRE=m||CAS=n|
m’	je	PROper	|PERS.=1||NOMB.=s||GENRE=m||CAS=r|
en	en2	PROadv	MORPH=empty
volez	voloir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=2||NOMB.=p|
croire	croire	VERinf	MORPH=empty
K’	que4	CONsub	MORPH=empty
a	a3	PRE	MORPH=empty
celui	cel	DETdem	|NOMB.=s||GENRE=m||CAS=r|
paiement	paiement	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
dont	dont	PROrel	|NOMB.=s||GENRE=m||CAS=i|
cist	cest	DETdem	|NOMB.=s||GENRE=m||CAS=n|
siecles	siecle	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
foire	foire1	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
Il	il	PROimp	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
n’	ne1	ADVneg	MORPH=empty
ia	aler	VERcjg	NOMB.=s
que	que4	CONsub	MORPH=empty
.	.	PONfrt	MORPH=empty
ii	deus	PROcar	|NOMB.=p||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
tables	table	NOMcom	|NOMB.=p||GENRE=f||CAS=r|
,	,	PONfbl	MORPH=empty
.	.	PONfrt	MORPH=empty
i	i2	DETndf	MORPH=empty
.	.	PONfrt	MORPH=empty
blanche	blanc	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
.	.	PONfrt	MORPH=empty
i	i2	DETndf	MORPH=empty
.	.	PONfrt	MORPH=empty
noire	noir	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
.	.	PONfrt	MORPH=empty
Tous	tot	DETind	|NOMB.=p||GENRE=m||CAS=n|
gens	gent1	NOMcom	|NOMB.=p||GENRE=m||CAS=n|
ki	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
finés	finer	VERcjg	|NOMB.=s||GENRE=m||CAS=n|
d’	de	PRE	MORPH=empty
emprunter	emprunter	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
d’	de	PRE	MORPH=empty
acroire	acroire	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Cil	cel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
tient	tenir1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
blanche	blanc	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
table	table	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=f||CAS=n|
tout	tot	DETind	|NOMB.=s||GENRE=m||CAS=r|
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
monde	monde1	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
encline	encliner	VERcjg	|NOMB.=s||GENRE=f||CAS=r|
,	,	PONfbl	MORPH=empty
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
donne	doner	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
a	a3	PRE	MORPH=empty
ses	son4	DETpos	|PERS.=3||NOMB.=p||GENRE=m||CAS=r|
amis	ami	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
secorz	secors	NOMcom	|NOMB.=p||GENRE=m||CAS=n|
et	et	CONcoo	MORPH=empty
mecine	mecine	NOMcom	|NOMB.=s||GENRE=f||CAS=n|
,	,	PONfbl	MORPH=empty
Quar	car	CONcoo	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
a	avoir	VERcjg	|PERS.=3||NOMB.=s|
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
pooir	pöoir	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
–	–	PONfbl	MORPH=empty
c’	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
verité	verité	NOMcom	|NOMB.=s||GENRE=f||CAS=n|
fine	finer	ADJqua	|NOMB.=s||GENRE=f||CAS=n|
–	–	PONfbl	MORPH=empty
de	de	PRE	MORPH=empty
saner	saner	VERinf	MORPH=empty
les	le	DETdef	|NOMB.=p||GENRE=m||CAS=r|
malades	malade	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
senz	sans	PRE	MORPH=empty
mestre	maistre	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
de	de	PRE	MORPH=empty
mecine	mecine	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
noire	noir	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
table	table	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
les	le	DETdef	|NOMB.=p||GENRE=m||CAS=r|
orgueill	orgueil	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
atent	atendre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
paiement	paiement	NOMcom	DEGRE=-
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
aura	avoir	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
tost	tost1	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
vieut	voloir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
finer	finer	VERinf	MORPH=empty
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
venir	venir	VERinf	MORPH=empty
a	a3	PRE	MORPH=empty
conte	conte2	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
,	,	PONfbl	MORPH=empty
jamais	ja+mais1	ADVgen	DEGRE=-
n’	ne1	ADVneg	MORPH=empty
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
aié	aidier	VERppe	|MODE=imp||PERS.=2||NOMB.=s|
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
chatel	chastel	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
ne	ne1	ADVneg	MORPH=empty
la	il	PROper	|PERS.=3||NOMB.=s||GENRE=f||CAS=r|
monte	monte	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
.	.	PONfrt	MORPH=empty
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
endetei	endecentir	VERppe	|NOMB.=s||GENRE=m||CAS=n|
seront	estre1	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=p|
si	si	ADVgen	DEGRE=-
mal	mal1	ADVgen	DEGRE=-
venu	venir	VERppe	|NOMB.=s||GENRE=m||CAS=n|
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
Tozjors	tozjors	ADVgen	DEGRE=-
seront	estre1	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=p|
ars	ardre	VERppe	|NOMB.=p||GENRE=m||CAS=n|
,	,	PONfbl	MORPH=empty
trainei	traindre	VERppe	|MODE=ind||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
batu	batre	VERppe	|NOMB.=s||GENRE=m||CAS=n|
[	[	PONfbl	MORPH=empty
lacune	laconce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
Il	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=n|
possent	poser	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
morir	morir	VERinf	MORPH=empty
bien	bien1	ADVgen	DEGRE=p
leur	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=i|
fut	estre1	VERcjg	|MODE=ind||TEMPS=psp||PERS.=3||NOMB.=s|
avenu	avenir	VERppe	|NOMB.=s||GENRE=m||CAS=n|
Mais	mais1	CONcoo	MORPH=empty
jamais	ja+mais1	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
morront	morir	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=p|
ne	ne2	CONcoo	MORPH=empty
ja	ja	ADVgen	DEGRE=-
n’	ne1	ADVneg	MORPH=empty
avront	avoir	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=p|
rendu	rendre	VERppe	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Elas	he_las	NOMcom	NOMB.=p
cil	cel	PROdem	|NOMB.=p||GENRE=m||CAS=n|
n’	ne1	ADVneg	MORPH=empty
avront	avoir	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=p|
ne	ne2	CONcoo	MORPH=empty
ja	ja	ADVgen	DEGRE=-
ne	ne2	CONcoo	MORPH=empty
repos	repos	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
ne	ne2	CONcoo	MORPH=empty
sejor	sejor	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
Ainz	ainz	ADVgen	DEGRE=-
arderont	ardre	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=p|
adés	adès	ADVgen	DEGRE=-
en	en1	PRE	MORPH=empty
feu	feu	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
tristor	tristor	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
La	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
pensee	pensee	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
qu’	que2	PROrel	|NOMB.=s||GENRE=f||CAS=r|
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
[	[	PONfbl	MORPH=empty
102vb	desver	ADJqua	DEGRE=-
]	]	PONfbl	MORPH=empty
ont	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
lor	il	PROper	|PERS.=3||NOMB.=p||GENRE=f||CAS=r|
fait	faire	VERppe	|NOMB.=s||GENRE=f||CAS=r|
peinne	peine	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
gregnor	graignor	ADJqua	|NOMB.=s||GENRE=m||CAS=r|
Qu’	que4	CONsub	CAS=r
il	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=n|
sevent	savoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
bien	bien1	ADVgen	DEGRE=p
que	que4	CONsub	MORPH=empty
c’	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
sans	sans	PRE	MORPH=empty
fin	fin1	NOMcom	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
et	et	CONcoo	MORPH=empty
sanz	sans	PRE	MORPH=empty
retor	retor1	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
La	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
pensee	pensee	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
qu’	que2	PROrel	|NOMB.=s||GENRE=f||CAS=r|
il	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=n|
ont	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
lor	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=r|
fait	faire	VERcjg	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
pis	pis1	ADVgen	DEGRE=-
voirement	voirement	ADVgen	DEGRE=-
Que	que4	CONsub	MORPH=empty
toz	tot	DETind	|NOMB.=p||GENRE=m||CAS=r|
l’	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
autre	autre	ADJind	|NOMB.=s||GENRE=m||CAS=n|
martire	martire2	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
ne	ne2	CONcoo	MORPH=empty
toz	tot	DETind	|NOMB.=p||GENRE=m||CAS=r|
l’	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
autre	autre	ADJind	|NOMB.=s||GENRE=m||CAS=r|
torment	torment	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
Qu’	que4	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=n|
n’	ne1	ADVneg	MORPH=empty
atendent	atendre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
repos	repos	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
ne	ne2	CONcoo	MORPH=empty
assouagment	assoagier	NOMcom	MORPH=empty
Bien	bien1	ADVgen	DEGRE=p
sevent	savoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
que	que4	CONsub	MORPH=empty
leur	lor2	DETpos	|PERS.=3||NOMB.=p||GENRE=f||CAS=r|
peinne	peine	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
n’	ne1	ADVneg	MORPH=empty
avra	avoir	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
ja	ja	ADVgen	DEGRE=-
finement	finement	ADVgen	DEGRE=-
.	.	PONfrt	MORPH=empty
Cil	cel	PROdem	|NOMB.=p||GENRE=m||CAS=n|
qui	qui	PROrel	|NOMB.=p||GENRE=m||CAS=n|
les	le	DETdef	|NOMB.=p||GENRE=f||CAS=r|
granz	grant	ADJqua	|NOMB.=p||GENRE=f||CAS=r||DEGRE=p|
richeces	richece	NOMcom	|NOMB.=p||GENRE=f||CAS=r|
et	et	CONcoo	MORPH=empty
les	le	DETdef	|NOMB.=p||GENRE=m||CAS=r|
bobanz	boblien	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
meintienent	maintenir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
Et	et	CONcoo	MORPH=empty
qui	qui	PROrel	|NOMB.=p||GENRE=m||CAS=n|
a	a3	PRE	TEMPS=pst
penitance	penitence	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
ne	ne2	CONcoo	MORPH=empty
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
merci	merci	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
ne	ne1	ADVneg	MORPH=empty
vienent	venir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
Cil	cel	PROdem	|NOMB.=p||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
sont	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
pas	pas	ADVneg	NOMB.=p
fil	fil2	NOMcom	|NOMB.=p||GENRE=m||CAS=n|
Dieu	dieu	NOMpro	|NOMB.=p||GENRE=m||CAS=n|
ne	ne2	CONcoo	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
li	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=i|
apartienent	apartenir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
Tant	tant	ADVgen	DEGRE=-
les	il	PROper	|NOMB.=p||GENRE=m||CAS=r|
semont	semondre	VERcjg	|NOMB.=p||GENRE=m||CAS=r|
pechiez	pechié	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
que	que4	CONsub	|NOMB.=p||GENRE=m||CAS=r|
mescreant	mescroire	NOMcom	|NOMB.=p||GENRE=m||CAS=n|
devienent	devenir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
.	.	PONfrt	MORPH=empty
Bien	bien1	ADVgen	DEGRE=p
ont	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
perdu	perdre	VERppe	|NOMB.=s||GENRE=m||CAS=r|
teil	tel	DETind	|NOMB.=s||GENRE=m||CAS=r|
bougre	borgue	NOMcom	|NOMB.=s||GENRE=m|
lor	lor2	DETpos	|PERS.=3||NOMB.=p||GENRE=m||CAS=r|
anz	an	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
lor	lor2	DETpos	|PERS.=3||NOMB.=p||GENRE=m||CAS=r|
esploiz	esploit	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
Qu’	que2	PROrel	|NOMB.=p||GENRE=m||CAS=r|
il	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=n|
perdent	perdre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
[	[	PONfbl	MORPH=empty
arme	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
]	]	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
cors	cors1	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
destruient	destruire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
lor	lor2	DETpos	|PERS.=3||NOMB.=p||GENRE=f||CAS=r|
oirs	oir	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Bien	bien1	ADVgen	DEGRE=p
pert	paroir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
que	que4	CONsub	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
diables	dïable	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
ait	avoir	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
en	en1	PRE	MORPH=empty
aus	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=i|
grant	grant	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
povoir	pöoir	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
Quant	cant1	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
en	en2	PROadv	MORPH=empty
prent	prendre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
les	le	DETdef	|NOMB.=p||GENRE=f||CAS=r|
armes	arme	NOMcom	|NOMB.=p||GENRE=f||CAS=r|
et	et	CONcoo	MORPH=empty
les	le	DETdef	|NOMB.=p||GENRE=m||CAS=r|
cors	cors1	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
fait	faire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
ardoir	ardre	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Itel	itel	DETind	|NOMB.=s||GENRE=f||CAS=r|
merite	merite	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
trueve	trover	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
a	a3	PRE	MORPH=empty
tel	tel	DETind	|NOMB.=s||GENRE=m||CAS=r|
segnor	seignor	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
sert	servir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
Cil	cel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
a	avoir	VERcjg	MORPH=empty
bien	bien1	ADVgen	DEGRE=p
tout	tot	ADVgen	DEGRE=-
perdu	perdre	VERppe	|NOMB.=s||GENRE=m||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
l’	il	DETdef	|NOMB.=s||GENRE=f||CAS=r|
arme	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
et	et	CONcoo	MORPH=empty
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
cors	cors1	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
pert	perdre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
Bien	bien1	ADVgen	DEGRE=p
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=i|
eut	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
feu	feu	NOMcom	|NOMB.=s||GENRE=m||CAS=n||DEGRE=p|
diables	dïable	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
a	avoir	VERcjg	MORPH=empty
descouvert	descovrir	VERppe	|NOMB.=s||GENRE=m||CAS=r|
Se	se	CONsub	MORPH=empty
Diex	dieu	NOMpro	|NOMB.=s||GENRE=m||CAS=n|
n’	ne1	ADVneg	MORPH=empty
eust	avoir	VERcjg	|MODE=sub||TEMPS=ipf||PERS.=3||NOMB.=s|
en	en1	PRE	MORPH=empty
terre	terre	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
tramis	trametre	VERppe	|NOMB.=s||GENRE=m||CAS=r|
frere	frere	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
Robert	roberie	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
bougres	borgue	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
,	,	PONfbl	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
parfais	parfaire	ADJqua	|NOMB.=s||GENRE=m||CAS=n|
,	,	PONfbl	MORPH=empty
icil	icel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
riens	rien	PROind	|NOMB.=s||GENRE=f||CAS=n|
ne	ne1	ADVneg	MORPH=empty
croit	croire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
Ne	ne1	ADVneg	MORPH=empty
cuide	cuidier1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
pas	pas	ADVneg	MORPH=empty
qu’	que4	CONsub	MORPH=empty
enfers	enfer	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
ne	ne2	CONcoo	MORPH=empty
que	que4	CONsub	MORPH=empty
paradis	paradis	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
soit	estre1	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
